deal_id,company_id,contact_id,rep_id,stage_id,source_id,reason_id,amount,created_date,expected_close,actual_close,status
DEAL-0001,CMP-0021,CON-0030,REP-003,STG-04,SRC-008,,677000,2026-05-27,2026-08-04,,Open
DEAL-0002,CMP-0070,CON-0106,REP-002,STG-06,SRC-003,,1054000,2025-12-31,2026-02-18,2026-02-21,Won
DEAL-0003,CMP-0031,CON-0047,REP-004,STG-07,SRC-003,LR-03,1729000,2025-05-23,2025-08-06,2025-08-06,Lost
DEAL-0004,CMP-0076,CON-0115,REP-002,STG-07,SRC-002,LR-04,337000,2025-11-08,2025-12-16,2025-12-07,Lost
DEAL-0005,CMP-0034,CON-0051,REP-002,STG-02,SRC-006,,621000,2026-06-15,2026-07-10,,Open
DEAL-0006,CMP-0136,CON-0197,REP-002,STG-01,SRC-005,,1110000,2026-03-06,2026-04-08,,Open
DEAL-0007,CMP-0011,CON-0014,REP-006,STG-07,SRC-001,LR-04,1361000,2025-04-24,2025-05-13,2025-05-16,Lost
DEAL-0008,CMP-0135,CON-0196,REP-004,STG-04,SRC-004,,1668000,2026-01-09,2026-02-20,,Open
DEAL-0009,CMP-0111,CON-0161,REP-004,STG-03,SRC-001,,1114000,2026-06-15,2026-07-13,,Open
DEAL-0010,CMP-0120,CON-0173,REP-005,STG-04,SRC-002,,563000,2026-05-02,2026-05-31,,Open
DEAL-0011,CMP-0120,CON-0173,REP-004,STG-06,SRC-008,,1146000,2026-06-18,2026-09-03,2026-07-05,Won
DEAL-0012,CMP-0027,CON-0040,REP-005,STG-07,SRC-001,LR-03,1676000,2025-10-08,2025-12-03,2025-11-28,Lost
DEAL-0013,CMP-0131,CON-0189,REP-002,STG-07,SRC-005,LR-04,427000,2025-08-12,2025-10-19,2025-10-13,Lost
DEAL-0014,CMP-0084,CON-0125,REP-002,STG-06,SRC-002,,410000,2026-05-29,2026-07-21,2026-07-16,Won
DEAL-0015,CMP-0135,CON-0196,REP-002,STG-03,SRC-001,,327000,2026-03-26,2026-04-26,,Open
DEAL-0016,CMP-0123,CON-0177,REP-001,STG-02,SRC-007,,565000,2025-10-05,2025-11-24,,Open
DEAL-0017,CMP-0082,CON-0122,REP-006,STG-06,SRC-001,,405000,2025-03-24,2025-06-09,2025-06-07,Won
DEAL-0018,CMP-0053,CON-0079,REP-001,STG-05,SRC-006,,974000,2026-05-23,2026-06-21,,Open
DEAL-0019,CMP-0017,CON-0023,REP-005,STG-04,SRC-007,,1476000,2025-12-28,2026-02-10,,Open
DEAL-0020,CMP-0015,CON-0018,REP-004,STG-01,SRC-002,,342000,2026-01-05,2026-03-01,,Open
DEAL-0021,CMP-0055,CON-0082,REP-002,STG-02,SRC-004,,744000,2026-04-12,2026-06-17,,Open
DEAL-0022,CMP-0114,CON-0165,REP-006,STG-06,SRC-006,,1147000,2025-04-11,2025-05-23,2025-05-23,Won
DEAL-0023,CMP-0071,CON-0107,REP-005,STG-06,SRC-008,,1562000,2025-09-08,2025-10-01,2025-10-03,Won
DEAL-0024,CMP-0068,CON-0103,REP-006,STG-02,SRC-003,,405000,2026-05-08,2026-06-26,,Open
DEAL-0025,CMP-0035,CON-0054,REP-003,STG-06,SRC-002,,390000,2026-05-18,2026-07-24,2026-07-15,Won
DEAL-0026,CMP-0080,CON-0120,REP-001,STG-07,SRC-002,LR-01,465000,2025-07-28,2025-09-30,2025-10-01,Lost
DEAL-0027,CMP-0090,CON-0133,REP-003,STG-07,SRC-006,LR-01,878000,2025-08-18,2025-10-10,2025-10-10,Lost
