company_id,name,type,region_id,created_date
CMP-0001,Savannah Hotel,Hotel,REG-001,2026-02-16
CMP-0002,Luxe Boutique,Boutique,REG-001,2024-08-27
CMP-0003,Palm Gifts,Gift Shop,REG-001,2024-09-12
CMP-0004,Harmattan Boutique,Boutique,REG-001,2025-02-01
CMP-0005,Lumen Living,Boutique,REG-007,2025-08-20
CMP-0006,Adire Interiors,Boutique,REG-002,2025-03-11
CMP-0007,Aurora Gift Emporium,Gift Shop,REG-001,2025-06-26
CMP-0008,Marigold Home & Living,Boutique,REG-004,2024-11-18
CMP-0009,Palm Living,Boutique,REG-003,2025-12-14
CMP-0010,Serene Hotel,Hotel,REG-007,2025-02-25
CMP-0011,Ada Interiors,Boutique,REG-005,2024-09-04
CMP-0012,Aurora Gift House,Gift Shop,REG-002,2025-12-22
CMP-0013,Verdant Boutique,Boutique,REG-001,2026-04-13
CMP-0014,Ivory Living,Boutique,REG-008,2024-07-30
CMP-0015,Ada Living,Boutique,REG-004,2025-05-22
CMP-0016,The Bloom Hotel,Hotel,REG-007,2026-02-19
CMP-0017,Nneka Living,Boutique,REG-001,2025-11-27
CMP-0018,Aurora Boutique,Boutique,REG-006,2026-03-12
CMP-0019,Serene Interiors,Boutique,REG-003,2025-05-07
CMP-0020,Guaranty Trust,Corporate,REG-001,2025-04-06
CMP-0021,Nigerian Breweries,Corporate,REG-003,2025-11-29
CMP-0022,Coral Gift Emporium,Gift Shop,REG-004,2024-11-04
CMP-0023,Ember Living,Boutique,REG-001,2025-01-03
CMP-0024,Radisson Blu,Corporate,REG-002,2025-09-14
CMP-0025,Kente Gift House,Gift Shop,REG-006,2025-10-31
CMP-0026,Indigo Gifts,Gift Shop,REG-001,2024-10-11
CMP-0027,Bloom Home & Living,Boutique,REG-002,2025-07-11
CMP-0028,Nova Living,Boutique,REG-002,2025-04-01
CMP-0029,Bloom Home & Living,Boutique,REG-001,2025-07-06
CMP-0030,Radisson Blu,Corporate,REG-007,2026-05-22
CMP-0031,Kente Interiors,Boutique,REG-005,2024-09-11
CMP-0032,Haven Boutique,Boutique,REG-001,2026-06-17
CMP-0033,Sage Interiors,Boutique,REG-008,2025-05-31
CMP-0034,The Sage Hotel,Hotel,REG-006,2026-01-12
CMP-0035,Baobab Living,Boutique,REG-001,2025-05-13
CMP-0036,Harmattan Gifts,Gift Shop,REG-006,2025-02-22
CMP-0037,Kente Gifts,Gift Shop,REG-001,2026-01-11
CMP-0038,Luxe Gift Emporium,Gift Shop,REG-008,2025-11-14
CMP-0039,Terra Home & Living,Boutique,REG-004,2024-10-28
CMP-0040,Ivory Suites,Hotel,REG-004,2025-11-26
CMP-0041,Petal Hotel,Hotel,REG-001,2025-12-29
CMP-0042,The Adire Hotel,Hotel,REG-006,2025-04-17
CMP-0043,Verdant Home & Living,Boutique,REG-001,2026-04-29
CMP-0044,Lumen Boutique,Boutique,REG-001,2025-10-12
CMP-0045,Verdant Interiors,Boutique,REG-001,2025-03-10
CMP-0046,Serene Boutique,Boutique,REG-005,2024-07-27
CMP-0047,Aurora Boutique,Boutique,REG-001,2025-11-05
CMP-0048,Willow Home & Living,Boutique,REG-007,2024-12-13
CMP-0049,Ivory Living,Boutique,REG-004,2026-01-01
CMP-0050,The Willow Hotel,Hotel,REG-001,2025-07-23
CMP-0051,Ember Boutique,Boutique,REG-001,2025-06-12
CMP-0052,Flour Mills of Nigeria,Corporate,REG-001,2024-11-11
CMP-0053,Transcorp Hilton,Hotel,REG-003,2025-11-30
CMP-0054,Ember Boutique,Boutique,REG-006,2024-11-13
CMP-0055,Radisson Blu,Hotel,REG-001,2025-05-08
CMP-0056,Marigold Home & Living,Boutique,REG-006,2026-02-26
CMP-0057,Unilever Nigeria,Corporate,REG-001,2026-04-26
CMP-0058,Kente Home & Living,Boutique,REG-006,2026-06-13
CMP-0059,Coral Gifts,Gift Shop,REG-007,2026-05-22
CMP-0060,Palm Boutique,Boutique,REG-005,2025-08-13
CMP-0061,Harmattan Interiors,Boutique,REG-004,2024-12-07
CMP-0062,Lumen Home & Living,Boutique,REG-006,2026-02-28
CMP-0063,Access Holdings,Corporate,REG-001,2026-02-01
CMP-0064,Eko Hotels,Hotel,REG-001,2026-06-14
CMP-0065,Serene Home & Living,Boutique,REG-001,2025-10-19
CMP-0066,Baobab Home & Living,Boutique,REG-002,2024-10-27
CMP-0067,Willow Interiors,Boutique,REG-005,2025-07-07
CMP-0068,Adire Hotel,Hotel,REG-003,2025-05-30
CMP-0069,Baobab Living,Boutique,REG-006,2026-03-02
CMP-0070,Sahara Living,Boutique,REG-001,2025-04-21
CMP-0071,Sage Gift House,Gift Shop,REG-005,2025-03-07
CMP-0072,Transcorp Hilton,Corporate,REG-001,2024-09-14
CMP-0073,Olive Living,Boutique,REG-001,2026-02-25
CMP-0074,The Indigo Hotel,Hotel,REG-004,2025-12-31
CMP-0075,Nneka Boutique,Boutique,REG-008,2024-08-17
